"Время срабатывания";"Сообщение";"Квитировано";"Время квитирования";"Пользователь";
"22.11.2021 14:39:14.522";"ГРС Волчиха. Давление газа на входе. Значение нижнего аварийного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 14:39:14.523";"ГРС Волчиха. Давление газа на входе. Значение нижнего аварийного предела";"Нет";"";"";
"22.11.2021 14:38:27.307";"ГРС Волчиха. Давление газа на входе. Высокая скорость изменения";"Нет";"";"";
"22.11.2021 14:38:27.105";"ГРС Волчиха. Рассогласование Pвх. Сигнал установлен";"Нет";"";"";
"22.11.2021 14:38:27.106";"ГРС Волчиха. Неисправность Pвх. Сигнал установлен";"Нет";"";"";
"22.11.2021 14:38:11.904";"ГРС Волчиха. Давление газа на входе. Высокая скорость изменения";"Нет";"";"";
"22.11.2021 14:36:28.427";"ГРС Волчиха. Давление газа на входе. Значение нижнего предупредительного предела. Уставка изменена";"Нет";"";"";
"22.11.2021 14:33:04.866";"ГРС Волчиха. Перепад давления на фильтрах. Высокая скорость изменения";"Нет";"";"";
"22.11.2021 14:33:04.765";"ГРС Волчиха. Перепад давления на фильтрах. Значение имитации. Уставка изменена";"Нет";"";"";
"22.11.2021 14:32:45.055";"ГРС Волчиха. Перепад давления на фильтрах. Высокая скорость изменения";"Нет";"";"";
"22.11.2021 14:32:44.155";"ГРС Волчиха. Перепад давления на фильтрах. Значение имитации. Уставка изменена";"Нет";"";"";
"22.11.2021 14:32:44.156";"ГРС Волчиха. Перепад давления на фильтрах. Сигнал достоверен. Режим Имитации";"Нет";"";"";
"22.11.2021 14:32:44.157";"ГРС Волчиха. Перепад давления на фильтрах. Сигнал в норме";"Нет";"";"";
"22.11.2021 14:32:22.554";"ГРС Волчиха. Перепад давления на фильтрах. Команда с АРМ установить режим Имитации";"Нет";"";"";
"22.11.2021 14:32:22.555";"ГРС Волчиха. Перепад давления на фильтрах. Сигнал имитирован";"Нет";"";"";
"22.11.2021 14:32:18.051";"ГРС Волчиха. Перепад давления на фильтрах. Значение верхнего аварийного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 14:32:15.552";"ГРС Волчиха. Перепад давления на фильтрах. Значение верхнего предупредительного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 14:32:12.551";"ГРС Волчиха. Перепад давления на фильтрах. Значение тех. уставки 4. Уставка отключена";"Нет";"";"";
"22.11.2021 14:32:09.351";"ГРС Волчиха. Перепад давления на фильтрах. Значение  тех. уставки 3. Уставка отключена";"Нет";"";"";
"22.11.2021 14:32:06.148";"ГРС Волчиха. Перепад давления на фильтрах. Значение  тех. уставки 2. Уставка отключена";"Нет";"";"";
"22.11.2021 14:32:04.147";"ГРС Волчиха. Перепад давления на фильтрах. Значение  тех. уставки 1. Уставка отключена";"Нет";"";"";
"22.11.2021 14:31:56.147";"ГРС Волчиха. Перепад давления на фильтрах. Значение нижнего предупредительного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 14:27:01.562";"ГРС Волчиха. Давление газа на входе. Значение  тех. уставки 1. Уставка отключена";"Нет";"";"";
"22.11.2021 14:26:54.362";"ГРС Волчиха. Давление газа на входе. Значение  тех. уставки 1. Уставка включена";"Нет";"";"";
"22.11.2021 14:26:33.757";"ГРС Волчиха. Давление газа на входе. Значение верхнего аварийного предела. Уставка включена";"Нет";"";"";
"22.11.2021 14:26:31.254";"ГРС Волчиха. Давление газа на входе. Значение верхнего предупредительного предела. Уставка включена";"Нет";"";"";
"22.11.2021 14:26:28.755";"ГРС Волчиха. Давление газа на входе. Значение нижнего предупредительного предела. Уставка включена";"Нет";"";"";
"22.11.2021 14:26:26.855";"ГРС Волчиха. Давление газа на входе. Значение тех. уставки 4. Уставка отключена";"Нет";"";"";
"22.11.2021 14:26:25.056";"ГРС Волчиха. Давление газа на входе. Значение  тех. уставки 3. Уставка отключена";"Нет";"";"";
"22.11.2021 14:26:23.055";"ГРС Волчиха. Давление газа на входе. Значение  тех. уставки 2. Уставка отключена";"Нет";"";"";
"22.11.2021 14:26:20.855";"ГРС Волчиха. Давление газа на входе. Значение  тех. уставки 1. Уставка отключена";"Нет";"";"";
"22.11.2021 14:25:41.848";"ГРС Волчиха. Давление газа на входе. Сигнал в норме";"Нет";"";"";
"22.11.2021 14:23:49.018";"ГРС Волчиха. Давление газа на входе. Значение коэффициента сглаживания. Уставка изменена";"Нет";"";"";
"22.11.2021 14:22:53.104";"ГРС Волчиха. Давление газа на входе. Высокая скорость изменения";"Нет";"";"";
"22.11.2021 14:22:52.604";"ГРС Волчиха. Рассогласование Pвх. Сигнал снят";"Нет";"";"";
"22.11.2021 14:22:52.605";"ГРС Волчиха. Неисправность Pвх. Сигнал снят";"Нет";"";"";
"22.11.2021 14:22:45.402";"ГРС Волчиха. Рассогласование Pвх. Сигнал установлен";"Нет";"";"";
"22.11.2021 14:22:45.403";"ГРС Волчиха. Неисправность Pвх. Сигнал установлен";"Нет";"";"";
"22.11.2021 14:22:45.404";"ГРС Волчиха. Давление газа на входе. Высокая скорость изменения";"Нет";"";"";
"22.11.2021 14:22:36.101";"ГРС Волчиха. Давление газа на входе. Значение верхнего предупредительного предела. Уставка изменена";"Нет";"";"";
"22.11.2021 14:22:22.297";"ГРС Волчиха. Давление газа на входе. Высокая скорость изменения";"Нет";"";"";
"22.11.2021 14:22:21.997";"ГРС Волчиха. Рассогласование Pвх. Сигнал снят";"Нет";"";"";
"22.11.2021 14:22:21.998";"ГРС Волчиха. Неисправность Pвх. Сигнал снят";"Нет";"";"";
"22.11.2021 14:22:20.297";"ГРС Волчиха. Давление газа на входе. Значение нижнего предупредительного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 14:22:15.093";"ГРС Волчиха. Давление газа на входе. Значение нижнего предупредительного предела. Уставка включена";"Нет";"";"";
"22.11.2021 14:16:46.694";"ГРС Волчиха. Давление газа на входе. Высокая скорость изменения";"Нет";"";"";
"22.11.2021 14:16:45.793";"ГРС Волчиха. Давление газа на входе. Команда с АРМ снять режим Имитации";"Нет";"";"";
"22.11.2021 14:16:45.794";"ГРС Волчиха. Давление газа на входе. Имитация снята";"Нет";"";"";
"22.11.2021 14:15:09.067";"ГРС Волчиха. Давление газа на входе. Значение нижнего аварийного предела. Уставка включена";"Нет";"";"";
"22.11.2021 14:15:02.566";"ГРС Волчиха. Давление газа на входе. Значение верхнего предупредительного предела. Уставка изменена";"Нет";"";"";
"22.11.2021 14:15:01.365";"ГРС Волчиха. Давление газа на входе. Значение нижнего аварийного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 14:14:55.666";"ГРС Волчиха. Давление газа на входе. Значение верхнего предупредительного предела. Уставка изменена";"Нет";"";"";
"22.11.2021 14:14:32.562";"ГРС Волчиха. Давление газа на входе. Значение верхнего предупредительного предела. Уставка изменена";"Нет";"";"";
"22.11.2021 11:08:38.530";"ГРС Волчиха. КЦ. Контроллер. Связь восстановлена";"Нет";"";"";
"22.11.2021 13:58:27.923";"ГРС Волчиха. Давление газа на входе. Значение имитации. Уставка изменена";"Нет";"";"";
"22.11.2021 13:58:28.023";"ГРС Волчиха. Рассогласование Pвх. Сигнал установлен";"Нет";"";"";
"22.11.2021 14:00:52.941";"ГРС Волчиха. Давление газа на входе. Команда с АРМ установить режим Фильтрации";"Нет";"";"";
"22.11.2021 13:08:58.031";"ГРС Волчиха. Кран на входе 2-ой нитки редуцирования. Имитация установлена";"Нет";"";"";
"22.11.2021 13:08:58.032";"ГРС Волчиха. Кран на входе 3-ой нитки редуцирования. Имитация установлена";"Нет";"";"";
"22.11.2021 13:08:58.033";"ГРС Волчиха. Кран на входе 3-ой нитки редуцирования. Имитация установлена";"Нет";"";"";
"22.11.2021 13:08:58.034";"ГРС Волчиха. Кран сброса в емкость конденсата. Имитация установлена";"Нет";"";"";
"22.11.2021 13:08:58.035";"ГРС Волчиха. Кран сброса в емкость конденсата. Имитация установлена";"Нет";"";"";
"22.11.2021 13:08:58.036";"ГРС Волчиха. Кран сброса из фильтра 1А. Имитация установлена";"Нет";"";"";
"22.11.2021 13:08:58.037";"ГРС Волчиха. Кран сброса из фильтра 1А. Имитация установлена";"Нет";"";"";
"22.11.2021 13:08:58.038";"ГРС Волчиха. Кран сброса из фильтра 1Б. Имитация установлена";"Нет";"";"";
"22.11.2021 13:08:58.022";"ГРС Волчиха. Охранный кран. Имитация установлена";"Нет";"";"";
"22.11.2021 13:08:58.023";"ГРС Волчиха. Охранный кран. Имитация установлена";"Нет";"";"";
"22.11.2021 13:08:58.024";"ГРС Волчиха. Входной кран. Имитация установлена";"Нет";"";"";
"22.11.2021 13:08:58.025";"ГРС Волчиха. Входной кран. Имитация установлена";"Нет";"";"";
"22.11.2021 13:08:58.026";"ГРС Волчиха. Кран на выходе. Имитация установлена";"Нет";"";"";
"22.11.2021 13:08:58.027";"ГРС Волчиха. Кран на выходе. Имитация установлена";"Нет";"";"";
"22.11.2021 11:05:51.473";"ГРС Волчиха. КЦ. Контроллер. Связь восстановлена";"Нет";"";"";
"22.11.2021 11:05:49.496";"ГРС Волчиха. Панельный компьютер. Оперативная память загружена более чем на 70%. Сигнал снят";"Нет";"";"";
"21.11.2021 14:44:53.608";"ГРС Волчиха. Перепад давления на фильтрах. Команда ТУ <<Включить режим фильтрации (Зона нечувствительности изменения аналогового параметра)>>  [Администратор - АРМ [astra]] ";"Нет";"";"";
"20.11.2021 16:08:17.855";"ГРС Волчиха. Давление газа на входе. Команда ТУ <<Включить уставку Уст.1 Нижний аварийный >>  [Администратор - АРМ [astra]] ";"Нет";"";"";
"20.11.2021 11:10:42.664";"ГРС Волчиха. Температура газа на входе. Команда ТУ <<Отключить уставку Уст.1 Нижний аварийный >>  [Администратор - АРМ [astra]] ";"Нет";"";"";
"20.11.2021 11:10:01.402";"ГРС Волчиха. Температура газа на входе. Команда ТУ <<Включить уставку Уст.1 Нижний аварийный >>  [Администратор - АРМ [astra]] ";"Нет";"";"";
"19.11.2021 19:44:27.392";"ГРС Волчиха. Кран сброса из фильтра 2Б.Время управления, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.387";"ГРС Волчиха. Кран сброса из фильтра 2Б.Время движения в имитации, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.381";"ГРС Волчиха. Кран сброса из фильтра 2Б.Время воздействия, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.374";"ГРС Волчиха. Кран сброса из фильтра 2А.Время управления, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.367";"ГРС Волчиха. Кран сброса из фильтра 2А.Время движения в имитации, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.360";"ГРС Волчиха. Кран сброса из фильтра 2А.Время воздействия, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.354";"ГРС Волчиха. Кран сброса из фильтра 1Б.Время управления, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.337";"ГРС Волчиха. Кран сброса из фильтра 1Б.Время движения в имитации, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.315";"ГРС Волчиха. Кран сброса из фильтра 1Б.Время воздействия, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.309";"ГРС Волчиха. Кран сброса из фильтра 1А.Время управления, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.301";"ГРС Волчиха. Кран сброса из фильтра 1А.Время движения в имитации, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.294";"ГРС Волчиха. Кран сброса из фильтра 1А.Время воздействия, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.282";"ГРС Волчиха. Кран сброса в емкость конденсата.Время управления, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.265";"ГРС Волчиха. Кран сброса в емкость конденсата.Время движения в имитации, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.258";"ГРС Волчиха. Кран сброса в емкость конденсата.Время воздействия, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.245";"ГРС Волчиха. Кран на входе 3-ой нитки редуцирования.Время управления, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.224";"ГРС Волчиха. Кран на входе 3-ой нитки редуцирования.Время движения в имитации, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.216";"ГРС Волчиха. Кран на входе 3-ой нитки редуцирования.Время воздействия, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.205";"ГРС Волчиха. Кран на входе 2-ой нитки редуцирования.Время управления, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.197";"ГРС Волчиха. Кран на входе 2-ой нитки редуцирования.Время движения в имитации, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.185";"ГРС Волчиха. Кран на входе 2-ой нитки редуцирования.Время воздействия, сек.Отправлена команда на изменение значения уставки с 0 на 111";"Нет";"";"";
"19.11.2021 19:44:27.172";"ГРС Волчиха. Кран на входе 1-ой нитки редуцирования.Время управления, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.162";"ГРС Волчиха. Кран на входе 1-ой нитки редуцирования.Время движения в имитации, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.143";"ГРС Волчиха. Кран на входе 1-ой нитки редуцирования.Время воздействия, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.133";"ГРС Волчиха. Кран на выходе.Время управления, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
