"Время срабатывания";"Сообщение";"Квитировано";"Время квитирования";"Пользователь";
"25.11.2021 14:18:40.870";"ГРС Волчиха. Кран сброса из фильтра 1А. Команда ТУ <<Деблокировать>>  [Администратор - АРМ [astra]] ";"Нет";"";"";
"";"";"";"";"";
